Open Time,Open Price,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Close Return
1610697600000,1.9071,1.9358,1.8448,1.8582,1063322.8,1610711999999,2004349.603135,5349,590854.0,1115479.0,-0.02564103
1610712000000,1.86,1.8667,1.68,1.7056,1324946.1,1610726399999,2376955.907789,7660,625491.5,1126702.3,-0.08212248
1610726400000,1.7054,1.7957,1.6441,1.7419,1154868.5,1610740799999,2007648.744531,7274,511318.2,890712.4,0.02128283
1610740800000,1.7401,1.865,1.7251,1.8436,453748.5,1610755199999,815992.245563,3365,250394.1,449873.1,0.05838452
1610755200000,1.8546,1.94,1.8522,1.9067,624877.4,1610769599999,1189312.918976,4629,336055.1,639806.2,0.03422651
1610769600000,1.9111,1.9799,1.8569,1.9119,1008939.7,1610783999999,1931143.206237,5462,542231.8,1037303.7,0.00272723
1610784000000,1.9141,2.051,1.9033,2.0033,1294672.0,1610798399999,2571902.693443,6513,756094.8,1501376.3,0.04780585
1610798400000,2.0035,2.15,1.9254,2.1096,978951.4,1610812799999,1966241.613545,6311,526721.2,1058578.6,0.05306245
1610812800000,2.1094,2.181,1.9411,1.9894,1209265.6,1610827199999,2440703.134549,8646,607514.5,1227276.0,-0.05697763
1610827200000,1.9886,2.0232,1.8862,1.96,693485.1,1610841599999,1356885.236215,5250,348400.1,682951.0,-0.01477833
1610841600000,1.9646,1.9791,1.855,1.9256,854349.4,1610855999999,1659708.873672,5474,445536.9,866190.0,-0.01755102
1610856000000,1.9255,1.95,1.8076,1.8333,625359.3,1610870399999,1170337.587878,5464,284307.8,532481.0,-0.04793311
1610870400000,1.8325,1.9378,1.801,1.9276,851706.1,1610884799999,1587965.452552,5041,443575.2,829161.1,0.0514373
1610884800000,1.9286,1.9978,1.88,1.9385,994587.4,1610899199999,1926474.747867,6580,472033.3,914175.0,0.0056547
1610899200000,1.9443,1.9783,1.9201,1.9535,504325.5,1610913599999,983967.871502,4262,256888.0,501546.2,0.00773794
1610913600000,1.9577,2.03,1.9001,1.9533,704014.9,1610927999999,1388570.97893,5773,347259.6,685926.7,-0.00010238
1610928000000,1.9584,1.9752,1.856,1.874,464320.7,1610942399999,895148.015801,3484,267232.3,517340.0,-0.04059796
1610942400000,1.8716,1.9346,1.8513,1.9337,465176.1,1610956799999,875560.401934,3440,253122.7,476978.2,0.03185699
1610956800000,1.9339,2.0548,1.9339,1.9876,892044.7,1610971199999,1773316.96065,5703,411104.9,817981.2,0.02787402
1610971200000,1.9848,2.0833,1.9715,2.0803,684385.8,1610985599999,1379658.666921,4592,369991.1,746294.1,0.04663916
1610985600000,2.0815,2.0862,1.98,2.0394,442294.1,1610999999999,894835.076338,4365,228119.9,461753.1,-0.01966063
1611000000000,2.0393,2.075,2.0137,2.0725,442992.5,1611014399999,905237.441867,3322,281818.9,576355.2,0.01623026
1611014400000,2.0721,2.2079,2.0654,2.1523,1415692.9,1611028799999,3059738.377619,7807,934539.6,2019758.8,0.03850422
1611028800000,2.1546,2.1967,2.1082,2.1596,773373.1,1611043199999,1658531.088353,4842,403113.2,865491.1,0.00339172
1611043200000,2.1642,2.1664,2.0932,2.1137,746906.6,1611057599999,1585955.049985,4838,383582.0,814096.0,-0.02125394
1611057600000,2.1137,2.1238,2.0502,2.0753,620073.6,1611071999999,1293613.791089,4548,304706.9,636068.5,-0.01816719
1611072000000,2.0788,2.087,1.9524,1.9861,644180.8,1611086399999,1293716.25103,3850,255434.7,514763.0,-0.04298174
1611086400000,1.9856,2.0863,1.9734,1.9915,1442264.3,1611100799999,2932131.084107,6216,723838.6,1474613.5,0.0027189
1611100800000,1.9915,2.0536,1.9318,1.9408,819392.4,1611115199999,1645673.070588,4880,462383.0,929737.2,-0.0254582
1611115200000,1.9334,2.0104,1.91,2.0,601788.8,1611129599999,1183359.309195,3929,318190.4,626156.4,0.03050289
1611129600000,2.0006,2.0061,1.835,1.8714,1182635.1,1611143999999,2251755.330455,7039,520124.2,991207.9,-0.0643
1611144000000,1.8691,1.9427,1.8211,1.835,1597241.5,1611158399999,3001645.049694,8290,740880.5,1394695.0,-0.01945068
1611158400000,1.8355,1.9619,1.7943,1.961,836112.1,1611172799999,1570906.740575,4730,444741.4,834592.1,0.06866485
1611172800000,1.9628,2.0297,1.92,2.0156,549492.5,1611187199999,1078102.244998,3659,271148.4,532378.0,0.02784294
1611187200000,2.0177,2.0365,1.9249,1.9249,446666.4,1611201599999,880252.832975,3967,219127.0,431891.1,-0.04499901
1611201600000,1.9256,1.9626,1.8769,1.9031,481540.0,1611215999999,922736.376156,3467,275055.4,527658.0,-0.01132526
1611216000000,1.9025,1.9092,1.7559,1.7641,1013393.2,1611230399999,1828539.646327,6693,496398.9,895784.1,-0.07303873
1611230400000,1.7621,1.8104,1.7092,1.725,1713699.7,1611244799999,2986811.756604,8208,878586.9,1532224.0,-0.02216428
1611244800000,1.721,1.8083,1.7046,1.7951,839582.6,1611259199999,1470865.130169,5280,457262.7,801138.8,0.04063768
1611259200000,1.7934,1.7994,1.599,1.6455,1161024.0,1611273599999,1939727.262294,6659,460486.6,771646.7,-0.08333798
1611273600000,1.6476,1.8,1.5539,1.7778,1280473.1,1611287999999,2108933.156227,6041,672547.7,1111794.1,0.08040109
1611288000000,1.7821,1.9886,1.779,1.867,2119911.7,1611302399999,3995650.584574,13176,940740.1,1779565.6,0.05017437
1611302400000,1.8669,2.0561,1.8461,2.0558,1042284.7,1611316799999,2035274.265313,7329,519802.2,1018883.1,0.1011248
1611316800000,2.0555,2.1444,2.0276,2.1133,1170329.1,1611331199999,2451884.191349,12095,630505.9,1321380.1,0.02796965
1611331200000,2.1183,2.1623,2.0601,2.1363,873652.9,1611345599999,1845972.120283,10277,502827.3,1065090.4,0.01088345
1611345600000,2.1359,2.1726,2.0932,2.1315,499926.1,1611359999999,1066291.97479,5349,252893.9,540511.3,-0.00224688
1611360000000,2.1282,2.22,2.0882,2.2096,1026000.4,1611374399999,2213730.023613,8249,520431.4,1124613.4,0.03664086
1611374400000,2.2104,2.3571,2.2063,2.3391,1294500.0,1611388799999,2958688.511268,12584,712815.7,1630927.7,0.05860789
1611388800000,2.3424,2.4598,2.3045,2.3686,2065167.9,1611403199999,4907053.773324,21796,987849.5,2349435.0,0.01261169
1611403200000,2.3682,2.566,2.3428,2.4853,2060772.7,1611417599999,5093718.413978,20552,1069527.6,2646456.7,0.04926961
1611417600000,2.4831,2.49,2.3902,2.448,1100835.2,1611431999999,2687942.481149,11990,531790.2,1300513.2,-0.01500825
1611432000000,2.4488,2.4526,2.35,2.37,507536.7,1611446399999,1212404.864458,4959,259720.8,620301.3,-0.03186275
1611446400000,2.3671,2.4632,2.3458,2.4308,678960.2,1611460799999,1632431.617324,5522,351889.5,846228.2,0.02565401
1611460800000,2.4349,2.5466,2.4244,2.5,517938.9,1611475199999,1289366.639216,5203,268518.9,669039.5,0.02846799
1611475200000,2.5,2.64,2.457,2.582,751053.4,1611489599999,1907480.622125,6023,388868.4,985247.2,0.0328
1611489600000,2.5823,2.6211,2.4734,2.4913,670573.2,1611503999999,1698257.004404,6480,298046.0,755765.4,-0.03512781
1611504000000,2.496,2.52,2.36,2.3824,1070156.1,1611518399999,2624942.706498,7385,568985.4,1399352.1,-0.04371212
1611518400000,2.3773,2.5999,2.3701,2.5963,844158.2,1611532799999,2112552.922367,5947,472877.5,1180997.9,0.08978341
1611532800000,2.5986,2.6367,2.5727,2.6248,716960.4,1611547199999,1869610.148006,5728,331600.8,865691.1,0.01097716
1611547200000,2.6248,2.6353,2.46,2.4868,752283.9,1611561599999,1909333.991867,6812,333157.0,848007.9,-0.05257543
1611561600000,2.4908,2.4969,2.4,2.4686,722654.6,1611575999999,1768875.534668,5535,283918.2,695960.5,-0.00731864
1611576000000,2.4715,2.4903,2.315,2.365,1420541.9,1611590399999,3390372.636856,8934,601906.0,1436868.0,-0.04196711
1611590400000,2.3681,2.3759,2.3,2.3531,675638.7,1611604799999,1575287.969584,6148,300633.0,700875.8,-0.00503171
1611604800000,2.3532,2.3958,2.23,2.3777,894850.2,1611619199999,2064864.941223,7949,439245.5,1017631.3,0.01045429
